;FP.CPI.TOTL;IC.REG.COST.PC.ZS;BN.CAB.XOKA.GD.ZS;FS.AST.PRVT.GD.ZS;SL.AGR.EMPL.ZS;SL.IND.EMPL.ZS;NE.EXP.GNFS.ZS;SP.DYN.TFRT.IN;BX.KLT.DINV.WD.GD.ZS;BM.KLT.DINV.WD.GD.ZS;NY.GDP.MKTP.CD;NY.GNP.PCAP.KD;NY.GNS.ICTR.ZS;HD.HCI.OVRL;IT.NET.USER.ZS;SL.TLF.BASC.ZS;SL.TLF.INTM.ZS;SP.DYN.LE00.FE.IN;TX.MNF.TECH.ZS.UN;MS.MIL.XPND.GD.ZS;IT.CEL.SETS.P2;SP.DYN.IMRT.IN;SP.POP.65UP.TO.ZS;EN.POP.DNST;SP.POP.GROW;SP.POP.TOTL.FE.ZS;SN.ITK.SVFI.ZS;GC.TAX.TOTL.GD.ZS;SL.UEM.TOTL.ZS
50%;156,477744591953;8,35;-2,5536295641811098;50,1482634490216;15,62050008773805;23,61899948120115;20,412435999662897;2,1755;2,049075044369455;0,4469478256002015;1131469894629,28;9904,710492247414;25,36927475928605;0,578690409660339;84,52230206;49,958150863647504;64,6177005767822;78,603;43,8183577784407;1,164731263316598;98,07241459;12,7;7,853448960421789;85,93737764905205;1,08187225464052;50,75386498215545;6,55;13,0829255322402;7,27500009536743
75%;166,04217453129175;13,45;-2,2568048471489375;61,2232572693409;26,8332505226135;25,83325004577635;27,390633443915075;2,25125;2,9452659561836523;0,5787565521526961;1719286770640,2427;10607,9366882476;30,089018238254873;0,6159393191337588;87,47913723;55,4445743560791;70,65347671508788;79,73775;45,79725483633267;2,183001143097892;114,21491675;18,875;8,812931609322922;137,554174790221;1,13193268279839;51,02443981470167;11,85;14,1786055897712;10,472500324249303
max;203,545403587444;16,2;-1,88448979284422;68,027636251139;43,3289985656738;26,6639995574951;39,2893057052491;2,311;4,14549439380117;0,951143322307711;2713165057513,35;14841,882758819;31,7984908754342;0,625309884548187;88,49890317;62,7585983276367;74,0128021240234;80,336;81,000571342817;2,50435660854;132,0931513;29,7;11,1177888760774;454,938072575247;1,49044486780679;51,2373484456557;12,9;17,875925373469;12,3339996337891
count;12,0;12,0;12,0;12,0;12,0;12,0;12,0;12,0;12,0;12,0;12,0;11,0;12,0;12,0;10,0;12,0;12,0;12,0;12,0;12,0;12,0;12,0;12,0;12,0;12,0;12,0;12,0;12,0;12,0
mean;118,76248511477695;2,6;1,2494313815688713;47,068251109618124;6,958333293596905;30,42116673787436;66,64055692201438;1,5933333333333335;-1,322485686862811;-2,85730524813122;275563147975,43427;16376,165957590098;24,709987249280346;0,7217266112565994;80,125978152;26,057283560434964;64,54065863291423;80,7175;53,90506628391574;1,781329752251789;126,9525589;3,858333333333333;18,765692723581378;76,93800503184984;-0,24107728201955791;52,10733596732394;0,9333333333333335;18,442173598326367;5,253416657447814
std;17,45061754680458;3,4983112809156673;3,3614973582055203;11,320656545013383;5,253789946465452;4,177983250788697;19,451263306977495;0,08947659250362971;12,689611664688309;12,850513910405251;466273426014,5153;4978,996106758676;3,8994779970660787;0,05378842908433669;15,968763574367394;8,608768347187953;4,884953095097216;1,86104625998877;14,84555399682581;0,7884091996122743;20,080529004829433;1,473066272244478;1,9252339080196315;41,60765782324262;0,5121172862382137;1,2340422275014702;0,9451631252505216;3,5992408687680797;1,7050672638870337
min;108,974588403722;0,0;-4,34681222602876;25,7093382338118;2,29299998283386;23,6609992980957;30,5167944826321;1,46;-41,5081972891282;-43,535356885777;30747159197,8965;8749,80576757215;18,5208375194874;0,594410121440887;39,90463864;17,1695003509521;58,3302001953125;77,81;26,0829029797965;0,974192235140298;103,4451716;1,7;14,6747083203719;8,82206795315588;-0,954190459209969;50,2452070327013;0,0;11,3845957549298;2,24300003051758
25%;111,462525951106;0,875;-0,7089120978865585;39,630037567805175;4,4595000147819475;27,26850080490115;54,214902692871746;1,5475;1,54301783177997;0,04781587576351398;53889561416,5765;13608,1955838986;21,7249206097601;0,6988109797239302;80,508733745;20,1639504432678;61,1291513442993;79,5;44,35748983567598;1,1848300877820725;113,86379115;3,0999999999999996;18,1334802360085;41,290674473012324;-0,7363449029651975;51,342390428072875;0,44999999999999996;16,363685197793224;4,1014998555183375
50%;113,455904240662;1,1;1,0075665320486065;50,665003143195406;6,0620000362396205;30,072000503540053;70,0584987246753;1,585;2,199983164066335;0,714319786136745;86010673947,3225;15985,1158211418;25,73355112277665;0,7291580438613889;81,850615535;24,41429996490475;63,821249008178754;80,75;50,7267512680894;1,81132069865244;119,02659395;3,55;19,513878273706553;78,84158791988065;-0,06992692202786349;51,691664563516554;0,8;18,6644857437403;5,15949988365173
75%;118,08832801985226;2,5;2,8125755672360726;53,35963679705708;7,024750113487242;32,65450000762942;80,04085280454007;1,64;2,8927364218641727;1,5267736357889525;242467067598,693;18302,69651563045;27,534295191475522;0,7612958252429958;88,54456471;28,9111747741699;66,5002250671387;81,775;65,52666359480892;1,978156831257825;137,4209229;4,95;19,789679947515825;109,30751173058275;0,187487935283443;53,05926070468808;0,9500000000000001;21,14763360667805;6,24424982070923
max;173,015822116403;11,8;6,81204312186227;61,9014659379543;22,306999206543;37,4980010986328;96,2155843141011;1,76;3,83839010432834;2,48172905276665;1669583089322,96;26261,733043749;29,9198350993237;0,7886883020401;97,06129871;44,9537010192871;75,1698989868164;84,4;75,3444795192069;3,92951108949691;163,8703457;6,2;21,021914434268;137,657705257705;0,362584395134764;54,0101666562093;3,4;22,9533771484821;8,43200016021729
